
> composer-runtime-hlfv1@0.17.6 start /usr/local/src
> node start.js "--peer.address" "peer0.saude.gov.br:7052"

E0328 21:22:45.917922320      17 ssl_transport_security.cc:238] Could not get common name of subject from certificate.
2018-03-28T21:22:46.521Z [60d05cb0] [INFO    ] @JS : ModelManager            :addSystemModels()        [object Object] 
2018-03-28T21:22:47.492Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Participant:goledger.participant.DistributionCenter' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.509Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Participant:goledger.participant.Discard' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.528Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Participant:goledger.participant.HealthMinistry' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.546Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Participant:goledger.participant.HealthUnit' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.562Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Participant:goledger.participant.Supplier' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.582Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Participant:goledger.participant.HealthWorker' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.600Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Participant:goledger.participant.Person' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.619Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Transaction:goledger.transaction.SetupDefaultParticipants' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.639Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Transaction:goledger.transaction.SetupVaccineCode' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.663Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Transaction:goledger.transaction.CreateVaccine' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.677Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Transaction:goledger.transaction.SendVaccine' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.695Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Transaction:goledger.transaction.ReceiveVaccine' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.716Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Transaction:goledger.transaction.AdministerVaccine' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.734Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Transaction:goledger.transaction.DiscardVaccine' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.751Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'Transaction:goledger.transaction.RegisterHealthWorker' in collection with ID '$sysregistries' does not exist 
2018-03-28T21:22:47.775Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'org.hyperledger.composer.system.NetworkAdmin' in collection with ID 'Asset:org.hyperledger.composer.system.ParticipantRegistry' does not exist 
2018-03-28T21:22:47.776Z [60d05cb0] [ERROR   ] @JS : Resolver                :resolveRelationship()    Failed to resolve relationship [object Object]
2018-03-28T21:22:47.782Z [60d05cb0] [INFO    ] @JS : IdentityManager         :<ResourceManager>()      Binding in the tx names and impl 
2018-03-28T21:22:47.798Z [60d05cb0] [INFO    ] @JS : EngineTransactions      :createHistorianRecord()  created historian record 
2018-03-28T21:22:47.812Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'admin' in collection with ID 'Participant:org.hyperledger.composer.system.NetworkAdmin' does not exist 
2018-03-28T21:22:47.812Z [60d05cb0] [ERROR   ] @JS : Resolver                :resolveRelationship()    Failed to resolve relationship [object Object]
2018-03-28T21:22:47.832Z [60d05cb0] [INFO    ] @JS : EngineTransactions      :createHistorianRecord()  created historian record 
2018-03-28T21:22:47.844Z [60d05cb0] [ERROR   ] @JS : NodeDataCollection      :get()                    Error: Object with ID 'org.hyperledger.composer.system.NetworkAdmin' in collection with ID 'Asset:org.hyperledger.composer.system.ParticipantRegistry' does not exist 
2018-03-28T21:22:47.844Z [60d05cb0] [ERROR   ] @JS : Resolver                :resolveRelationship()    Failed to resolve relationship [object Object]
2018-03-28T21:22:47.855Z [60d05cb0] [INFO    ] @JS : EngineTransactions      :createHistorianRecord()  created historian record 
